,fold,type,true,predict
780,4,train,2.0,2.0
781,4,train,1.0,1.0
782,4,train,3.0,3.0
783,4,train,3.0,3.0
784,4,train,1.0,1.0
785,4,train,3.0,3.0
786,4,train,0.0,0.0
787,4,train,1.0,1.0
788,4,train,1.0,1.0
789,4,train,2.0,2.0
790,4,train,0.0,0.0
791,4,train,0.0,0.0
792,4,train,0.0,0.0
793,4,train,0.0,0.0
794,4,train,1.0,1.0
795,4,train,3.0,3.0
796,4,train,3.0,3.0
797,4,train,3.0,3.0
798,4,train,0.0,0.0
799,4,train,1.0,1.0
800,4,train,0.0,0.0
801,4,train,0.0,0.0
802,4,train,1.0,1.0
803,4,train,1.0,1.0
804,4,train,0.0,0.0
805,4,train,3.0,3.0
806,4,train,3.0,3.0
807,4,train,2.0,2.0
808,4,train,3.0,3.0
809,4,train,0.0,0.0
810,4,train,3.0,3.0
811,4,train,3.0,3.0
812,4,train,3.0,3.0
813,4,train,1.0,1.0
814,4,train,3.0,3.0
815,4,train,3.0,3.0
816,4,train,3.0,3.0
817,4,train,0.0,0.0
818,4,train,1.0,1.0
819,4,train,0.0,0.0
820,4,train,3.0,3.0
821,4,train,3.0,3.0
822,4,train,1.0,1.0
823,4,train,3.0,3.0
824,4,train,0.0,0.0
825,4,train,0.0,0.0
826,4,train,3.0,3.0
827,4,train,3.0,3.0
828,4,train,3.0,3.0
829,4,train,0.0,0.0
830,4,train,0.0,0.0
831,4,train,3.0,3.0
832,4,train,2.0,2.0
833,4,train,0.0,0.0
834,4,train,3.0,3.0
835,4,train,1.0,1.0
836,4,train,3.0,3.0
837,4,train,0.0,0.0
838,4,train,3.0,3.0
839,4,train,2.0,2.0
840,4,train,3.0,3.0
841,4,train,1.0,1.0
842,4,train,3.0,3.0
843,4,train,1.0,1.0
844,4,train,1.0,1.0
845,4,train,0.0,0.0
846,4,train,3.0,3.0
847,4,train,1.0,1.0
848,4,train,1.0,1.0
849,4,train,3.0,3.0
850,4,train,3.0,3.0
851,4,train,2.0,2.0
852,4,train,3.0,3.0
853,4,train,3.0,3.0
854,4,train,0.0,0.0
855,4,train,3.0,3.0
856,4,train,3.0,3.0
857,4,train,0.0,0.0
858,4,train,2.0,2.0
859,4,train,3.0,3.0
860,4,train,1.0,1.0
861,4,train,1.0,1.0
862,4,train,3.0,3.0
863,4,train,3.0,3.0
864,4,train,0.0,0.0
865,4,train,1.0,1.0
866,4,train,0.0,0.0
867,4,train,3.0,3.0
868,4,train,1.0,1.0
869,4,train,0.0,0.0
870,4,train,1.0,1.0
871,4,train,0.0,0.0
872,4,train,1.0,1.0
873,4,train,0.0,0.0
874,4,train,2.0,2.0
875,4,train,3.0,3.0
876,4,train,3.0,3.0
877,4,train,0.0,0.0
878,4,train,1.0,1.0
879,4,train,0.0,0.0
880,4,train,3.0,3.0
881,4,train,1.0,1.0
882,4,train,0.0,0.0
883,4,train,3.0,3.0
884,4,train,1.0,1.0
885,4,train,2.0,2.0
886,4,train,2.0,2.0
887,4,train,3.0,3.0
888,4,train,0.0,0.0
889,4,train,1.0,1.0
890,4,train,0.0,0.0
891,4,train,1.0,1.0
892,4,train,3.0,3.0
893,4,train,3.0,3.0
894,4,train,3.0,3.0
895,4,train,3.0,3.0
896,4,train,3.0,3.0
897,4,train,0.0,0.0
898,4,train,1.0,1.0
899,4,train,3.0,3.0
900,4,train,0.0,0.0
901,4,train,1.0,1.0
902,4,train,3.0,3.0
903,4,train,3.0,3.0
904,4,train,3.0,3.0
905,4,train,1.0,1.0
906,4,train,2.0,2.0
907,4,train,3.0,3.0
908,4,train,2.0,2.0
909,4,train,1.0,1.0
910,4,train,2.0,2.0
911,4,train,1.0,1.0
912,4,train,2.0,2.0
913,4,train,3.0,3.0
914,4,train,3.0,3.0
915,4,train,0.0,0.0
916,4,train,0.0,0.0
917,4,train,3.0,3.0
918,4,train,0.0,0.0
919,4,train,1.0,1.0
920,4,train,2.0,2.0
921,4,train,3.0,3.0
922,4,train,2.0,2.0
923,4,train,3.0,3.0
924,4,train,3.0,3.0
925,4,train,2.0,2.0
926,4,train,3.0,3.0
927,4,train,3.0,3.0
928,4,test,1.0,1.0
929,4,test,0.0,3.0
930,4,test,1.0,1.0
931,4,test,0.0,1.0
932,4,test,1.0,1.0
933,4,test,2.0,3.0
934,4,test,1.0,1.0
935,4,test,3.0,3.0
936,4,test,3.0,3.0
937,4,test,3.0,3.0
938,4,test,3.0,0.0
939,4,test,2.0,2.0
940,4,test,3.0,3.0
941,4,test,3.0,3.0
942,4,test,0.0,0.0
943,4,test,3.0,3.0
944,4,test,3.0,3.0
945,4,test,0.0,0.0
946,4,test,1.0,1.0
947,4,test,0.0,0.0
948,4,test,2.0,3.0
949,4,test,3.0,3.0
950,4,test,3.0,3.0
951,4,test,0.0,0.0
952,4,test,1.0,0.0
953,4,test,0.0,3.0
954,4,test,0.0,1.0
955,4,test,3.0,3.0
956,4,test,0.0,0.0
957,4,test,1.0,1.0
958,4,test,0.0,1.0
959,4,test,3.0,3.0
960,4,test,2.0,3.0
961,4,test,3.0,0.0
962,4,test,1.0,1.0
963,4,test,3.0,3.0
964,4,test,3.0,3.0
